"Date","RegionName","State","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2020-01-31,"Hanford, CA","CA",254,1277,-0.0046,0.0292,0.0732,34344
2020-01-31,"Iowa City, IA","IA",255,1102,-0.0011,0.0061,-0.0071,66661
2020-01-31,"Rocky Mount, NC","NC",256,733,0.01,0.0065,0.0385,48595
2020-01-31,"Wichita Falls, TX","TX",257,805,-0.0072,-0.0033,-0.0039,48139
2020-01-31,"Madera, CA","CA",258,1342,0.0016,0.0119,0.0478,40005
2020-01-31,"Jefferson City, MO","MO",259,740,-0.0202,-0.0158,-0.0393,53285
2020-01-31,"Chambersburg, PA","PA",260,945,-0.0006,0.0135,-0.0139,41454
2020-01-31,"Texarkana, TX","TX",261,862,0.0004,0.0201,0.0203,32494
2020-01-31,"Elizabethtown, KY","KY",262,844,0.0113,0.0114,0.0108,43896
2020-01-31,"Pottsville, PA","PA",263,801,-0.0015,-0.0005,0.0874,58797
2020-01-31,"Wheeling, OH","OH",264,986,0.022,0.0376,0.0254,50763
2020-01-31,"Florence, AL","AL",265,864,-0.0026,0.0323,0.0501,53739
2020-01-31,"Grand Junction, CO","CO",266,1293,0.0083,0.045,0.0898,59551
2020-01-31,"Concord, NH","NH",267,1452,-0.0113,-0.068,-0.0017,55849
2020-01-31,"Dothan, AL","AL",268,874,-0.0018,0.0026,-0.0044,53706
2020-01-31,"Santa Fe, NM","NM",269,1864,-0.0103,-0.0196,0.0271,56674
2020-01-31,"Johnstown, PA","PA",270,659,0.0107,0.0407,0.054,34639
2020-01-31,"Traverse City, MI","MI",271,1345,-0.0016,-0.0031,-0.0153,52122
2020-01-31,"Hattiesburg, MS","MS",272,939,0.0055,-0.0125,-0.0106,45925
2020-01-31,"Midland, TX","TX",273,1848,0.0082,-0.0337,-0.0454,48798
2020-01-31,"Homosassa Springs, FL","FL",274,1162,0.0046,0.0043,0.0777,64790
2020-01-31,"Auburn, AL","AL",275,1133,-0.0103,0.0086,0.0192,55751
2020-01-31,"Valdosta, GA","GA",276,857,-0.0284,-0.0242,-0.0083,43076
2020-01-31,"Coeur d'Alene, ID","ID",277,1518,-0.0047,0.0038,0.0909,71245
2020-01-31,"Springfield, OH","OH",278,763,-0.0249,-0.007,0.0461,48997
2020-01-31,"St. George, UT","UT",279,1481,-0.0054,0.0056,0.0164,73331
2020-01-31,"Vero Beach, FL","FL",280,1583,0.0068,0.0109,0.0257,79024
2020-01-31,"Napa, CA","CA",281,2897,-0.0011,-0.0054,0.0025,42448
2020-01-31,"Tupelo, MS","MS",282,941,0.0006,-0.0162,-0.0269,3769
2020-01-31,"Battle Creek, MI","MI",283,853,-0.0145,-0.032,-0.0248,4806
2020-01-31,"Jamestown, NY","NY",284,824,0.0164,0.0011,-0.0695,53454
2020-01-31,"Eureka, CA","CA",285,1452,-0.0171,-0.0183,-0.0028,14657
2020-01-31,"Rapid City, SD","SD",286,1033,-0.0179,-0.0132,-0.0391,49428
2020-01-31,"Flagstaff, AZ","AZ",287,1804,0.0095,0.0572,0.0825,39629
2020-01-31,"Lumberton, NC","NC",288,767,-0.0048,-0.0045,0.0097,25217
2020-01-31,"Wausau, WI","WI",289,839,0.0093,-0.0348,0.0106,14991
2020-01-31,"La Crosse, WI","WI",290,1152,0.0207,-0.0121,-0.0479,23655
2020-01-31,"Lebanon, PA","PA",291,1029,-0.0215,-0.0354,0.0123,48948
2020-01-31,"Idaho Falls, ID","ID",292,1125,0.0034,0.0317,0.0826,48071
2020-01-31,"Sierra Vista, AZ","AZ",293,924,0.0032,-0.0079,0.0418,40845
2020-01-31,"Pittsfield, MA","MA",294,1237,0.0051,-0.0183,-0.0346,55682
2020-01-31,"Lawton, OK","OK",295,730,-0.0055,0.0029,-0.0063,43125
2020-01-31,"Farmington, NM","NM",296,948,-0.007,-0.0299,-0.0448,28738
2020-01-31,"Jackson, TN","TN",297,905,-0.0019,0.0171,0.0388,46253
2020-01-31,"Morgantown, WV","WV",298,1088,-0.024,-0.0432,-0.0027,46377
2020-01-31,"Glens Falls, NY","NY",299,1284,0.0152,0.0073,-0.1013,57746
2020-01-31,"Winchester, VA","VA",300,1183,0.001,-0.0281,-0.0074,55021
2020-01-31,"St. Joseph, MO","MO",301,772,-0.0233,-0.0463,-0.022,45983
2020-01-31,"New Bern, NC","NC",302,1041,0.0249,0.0389,0.0409,48784
2020-01-31,"Carbondale, IL","IL",303,714,-0.0126,0.0105,-0.0472,42128
2020-01-31,"London, KY","KY",304,859,0.0032,0.0091,0.0183,29427
2020-01-31,"Logan, ID","UT",305,1122,0.0041,0.039,0.0713,46274
